HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :15
n_probe_val                   :7
k_probe_train                 :1
k_probe_val                   :15
n_subset                      :3
alpha                         :-3.0
gamma                         :1.0
lamb                          :None
n_syn                         :25
sample_probing_loss_weight    :5.0
sample_probing_loss_type      :zsl
closed_form_model_type        :eszsl
finetune                      :True
lambda2                       :10.0

[1/500]  Loss_D: -76.1384 Loss_G: 4.0961, Wasserstein_dist:105.1882, vae_loss_seen:971.9619 GZSL: seen=0.9833, unseen=0.2362, h=0.3808 ZSL: unseen accuracy=0.4753
[2/500]  Loss_D: -79.8655 Loss_G: 3.7167, Wasserstein_dist:106.6443, vae_loss_seen:939.4845 GZSL: seen=0.9804, unseen=0.2304, h=0.3732 ZSL: unseen accuracy=0.4815
[3/500]  Loss_D: -75.1778 Loss_G: 1.5220, Wasserstein_dist:102.9688, vae_loss_seen:901.6409 GZSL: seen=0.9731, unseen=0.3079, h=0.4677 ZSL: unseen accuracy=0.5583
[4/500]  Loss_D: -74.0969 Loss_G: 0.8970, Wasserstein_dist:91.1243, vae_loss_seen:864.0094 GZSL: seen=0.9732, unseen=0.3626, h=0.5283 ZSL: unseen accuracy=0.4983
[5/500]  Loss_D: -61.8137 Loss_G: 0.4216, Wasserstein_dist:82.2613, vae_loss_seen:859.2034 GZSL: seen=0.9505, unseen=0.4283, h=0.5905 ZSL: unseen accuracy=0.5368
[6/500]  Loss_D: -60.1884 Loss_G: -1.1575, Wasserstein_dist:84.9694, vae_loss_seen:829.2804 GZSL: seen=0.9378, unseen=0.4333, h=0.5927 ZSL: unseen accuracy=0.5652
[7/500]  Loss_D: -63.2897 Loss_G: -2.4574, Wasserstein_dist:80.8396, vae_loss_seen:824.3273 GZSL: seen=0.9467, unseen=0.4715, h=0.6295 ZSL: unseen accuracy=0.5844
[8/500]  Loss_D: -65.4826 Loss_G: -2.9046, Wasserstein_dist:81.8683, vae_loss_seen:815.4743 GZSL: seen=0.9264, unseen=0.5209, h=0.6669 ZSL: unseen accuracy=0.6042
