HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :False
n_task                        :1
n_probe_train                 :1
n_probe_val                   :1
k_probe_train                 :1
k_probe_val                   :1
n_subset                      :1
alpha                         :None
gamma                         :None
lamb                          :None
n_syn                         :None
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :None
closed_form_model_type        :None
finetune                      :True
lambda2                       :10.0
[1/500]  Loss_D: -74.6837 Loss_G: 4.1721, Wasserstein_dist:102.9918, vae_loss_seen:960.5067 GZSL: seen=0.9820, unseen=0.1917, h=0.3208 ZSL: unseen accuracy=0.3486
[2/500]  Loss_D: -82.0670 Loss_G: 3.6893, Wasserstein_dist:103.3176, vae_loss_seen:929.3453 GZSL: seen=0.9774, unseen=0.2561, h=0.4059 ZSL: unseen accuracy=0.4477
[3/500]  Loss_D: -78.1764 Loss_G: 2.1027, Wasserstein_dist:97.3964, vae_loss_seen:902.1879 GZSL: seen=0.9670, unseen=0.2724, h=0.4251 ZSL: unseen accuracy=0.5011
[4/500]  Loss_D: -61.5373 Loss_G: 0.9199, Wasserstein_dist:86.1115, vae_loss_seen:874.1277 GZSL: seen=0.9504, unseen=0.3719, h=0.5346 ZSL: unseen accuracy=0.5543
[5/500]  Loss_D: -66.8496 Loss_G: 0.3905, Wasserstein_dist:84.2864, vae_loss_seen:856.4905 GZSL: seen=0.9554, unseen=0.3665, h=0.5298 ZSL: unseen accuracy=0.5137
[6/500]  Loss_D: -62.7078 Loss_G: -1.6188, Wasserstein_dist:83.9475, vae_loss_seen:825.1996 GZSL: seen=0.9104, unseen=0.4726, h=0.6222 ZSL: unseen accuracy=0.5740
[7/500]  Loss_D: -61.7020 Loss_G: -1.6811, Wasserstein_dist:76.6491, vae_loss_seen:838.7661 GZSL: seen=0.9314, unseen=0.4227, h=0.5815 ZSL: unseen accuracy=0.5625
[8/500]  Loss_D: -57.7338 Loss_G: -3.5811, Wasserstein_dist:81.6950, vae_loss_seen:813.6181 GZSL: seen=0.8809, unseen=0.5076, h=0.6441 ZSL: unseen accuracy=0.5562
