HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :False
n_task                        :1
n_probe_train                 :1
n_probe_val                   :1
k_probe_train                 :1
k_probe_val                   :1
n_subset                      :1
alpha                         :None
gamma                         :None
lamb                          :None
n_syn                         :None
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :None
closed_form_model_type        :None
finetune                      :False
lambda2                       :10.0

[1/500]  Loss_D: -26.4096 Loss_G: 5.0316, Wasserstein_dist:30.9896, vae_loss_seen:486.6461 GZSL: seen=0.5396, unseen=0.0433, h=0.0801 ZSL: unseen accuracy=0.2244
[2/500]  Loss_D: -32.0448 Loss_G: 3.9102, Wasserstein_dist:42.0034, vae_loss_seen:467.0435 GZSL: seen=0.4988, unseen=0.0982, h=0.1642 ZSL: unseen accuracy=0.2793
[3/500]  Loss_D: -42.4724 Loss_G: 4.0251, Wasserstein_dist:51.6926, vae_loss_seen:478.0517 GZSL: seen=0.5214, unseen=0.1099, h=0.1815 ZSL: unseen accuracy=0.3601
[4/500]  Loss_D: -34.1875 Loss_G: 3.8223, Wasserstein_dist:49.3682, vae_loss_seen:478.2976 GZSL: seen=0.9119, unseen=0.1566, h=0.2672 ZSL: unseen accuracy=0.3672
[5/500]  Loss_D: -30.9692 Loss_G: 3.6850, Wasserstein_dist:45.2897, vae_loss_seen:460.6274 GZSL: seen=0.4762, unseen=0.2449, h=0.3235 ZSL: unseen accuracy=0.3974
[6/500]  Loss_D: -39.6302 Loss_G: 3.1245, Wasserstein_dist:50.5966, vae_loss_seen:456.0507 GZSL: seen=0.7789, unseen=0.2026, h=0.3215 ZSL: unseen accuracy=0.4220
[7/500]  Loss_D: -30.2138 Loss_G: 2.9545, Wasserstein_dist:43.1885, vae_loss_seen:443.0405 GZSL: seen=0.6507, unseen=0.2753, h=0.3869 ZSL: unseen accuracy=0.4500
[8/500]  Loss_D: -32.4874 Loss_G: 2.3085, Wasserstein_dist:43.8826, vae_loss_seen:444.2224 GZSL: seen=0.7412, unseen=0.3108, h=0.4379 ZSL: unseen accuracy=0.4758
