HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :20
n_probe_val                   :3
k_probe_train                 :1
k_probe_val                   :20
n_subset                      :5
alpha                         :-3.0
gamma                         :3.0
lamb                          :None
n_syn                         :25
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :gzsl
closed_form_model_type        :eszsl
finetune                      :False
lambda2                       :10.0

[1/500]  Loss_D: -26.5830 Loss_G: 5.0157, Wasserstein_dist:30.9496, vae_loss_seen:484.0014 GZSL: seen=0.1562, unseen=0.0659, h=0.0927 ZSL: unseen accuracy=0.1782
[2/500]  Loss_D: -38.5539 Loss_G: 3.6434, Wasserstein_dist:49.0337, vae_loss_seen:508.5601 GZSL: seen=0.5555, unseen=0.0959, h=0.1636 ZSL: unseen accuracy=0.2950
[3/500]  Loss_D: -37.8681 Loss_G: 3.8932, Wasserstein_dist:48.4734, vae_loss_seen:480.4534 GZSL: seen=0.7434, unseen=0.1253, h=0.2145 ZSL: unseen accuracy=0.3601
[4/500]  Loss_D: -36.1826 Loss_G: 3.7832, Wasserstein_dist:49.6099, vae_loss_seen:477.4893 GZSL: seen=0.7317, unseen=0.1882, h=0.2994 ZSL: unseen accuracy=0.3812
[5/500]  Loss_D: -39.8655 Loss_G: 3.4699, Wasserstein_dist:53.2715, vae_loss_seen:477.9261 GZSL: seen=0.7123, unseen=0.1795, h=0.2868 ZSL: unseen accuracy=0.4110
[6/500]  Loss_D: -33.2767 Loss_G: 3.3211, Wasserstein_dist:45.5529, vae_loss_seen:452.2136 GZSL: seen=0.6624, unseen=0.2392, h=0.3515 ZSL: unseen accuracy=0.4183
[7/500]  Loss_D: -41.3231 Loss_G: 2.8064, Wasserstein_dist:54.4351, vae_loss_seen:469.3730 GZSL: seen=0.6649, unseen=0.3104, h=0.4232 ZSL: unseen accuracy=0.4613
[8/500]  Loss_D: -31.5570 Loss_G: 2.0789, Wasserstein_dist:46.3522, vae_loss_seen:439.7685 GZSL: seen=0.7657, unseen=0.2908, h=0.4216 ZSL: unseen accuracy=0.4805
