HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :20
n_probe_val                   :3
k_probe_train                 :1
k_probe_val                   :20
n_subset                      :5
alpha                         :-3.0
gamma                         :3.0
lamb                          :0.001
n_syn                         :25
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :gzsl
closed_form_model_type        :sem2vis
finetune                      :False
lambda2                       :10.0

[1/500]  Loss_D: -26.5703 Loss_G: 5.0315, Wasserstein_dist:31.2181, vae_loss_seen:484.1401 GZSL: seen=0.1562, unseen=0.0655, h=0.0923 ZSL: unseen accuracy=0.1785
[2/500]  Loss_D: -38.5584 Loss_G: 3.6593, Wasserstein_dist:49.0467, vae_loss_seen:508.7280 GZSL: seen=0.5540, unseen=0.0959, h=0.1635 ZSL: unseen accuracy=0.2934
[3/500]  Loss_D: -40.2726 Loss_G: 3.8721, Wasserstein_dist:51.8971, vae_loss_seen:480.2252 GZSL: seen=0.7434, unseen=0.1278, h=0.2180 ZSL: unseen accuracy=0.3576
[4/500]  Loss_D: -40.4911 Loss_G: 3.8486, Wasserstein_dist:49.8346, vae_loss_seen:478.1399 GZSL: seen=0.7317, unseen=0.1852, h=0.2955 ZSL: unseen accuracy=0.3807
[5/500]  Loss_D: -34.7356 Loss_G: 3.5015, Wasserstein_dist:50.7421, vae_loss_seen:478.3040 GZSL: seen=0.7154, unseen=0.1793, h=0.2867 ZSL: unseen accuracy=0.4086
[6/500]  Loss_D: -34.3867 Loss_G: 3.3535, Wasserstein_dist:46.0261, vae_loss_seen:452.5623 GZSL: seen=0.6624, unseen=0.2409, h=0.3533 ZSL: unseen accuracy=0.4183
[7/500]  Loss_D: -37.5442 Loss_G: 2.8342, Wasserstein_dist:52.4482, vae_loss_seen:469.7147 GZSL: seen=0.6671, unseen=0.3083, h=0.4217 ZSL: unseen accuracy=0.4624
[8/500]  Loss_D: -32.8440 Loss_G: 2.0825, Wasserstein_dist:46.8614, vae_loss_seen:439.8075 GZSL: seen=0.7652, unseen=0.2892, h=0.4197 ZSL: unseen accuracy=0.4807
