HYPER-PARAMETERS
dataset                       :FLO
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :1200
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :1024
nz                            :1024
ngh                           :4096
ndh                           :4096
nepoch                        :500
critic_iter                   :5
lambda1                       :10.0
lr                            :0.0001
feed_lr                       :1e-05
dec_lr                        :0.0001
classifier_lr                 :0.001
beta1                         :0.5
cuda                          :True
encoded_noise                 :False
manualSeed                    :806
nclass_all                    :102
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :10
gammaG                        :10
latent_size                   :1024
conditional                   :True
a1                            :0.5
a2                            :0.5
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :20
n_probe_val                   :3
k_probe_train                 :1
k_probe_val                   :20
n_subset                      :5
alpha                         :-3.0
gamma                         :3.0
lamb                          :0.1
n_syn                         :25
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :gzsl
closed_form_model_type        :vis2sem
finetune                      :False
lambda2                       :10.0
[1/500]  Loss_D: -27.0191 Loss_G: 5.3012, Wasserstein_dist:31.9795, vae_loss_seen:487.4533 GZSL: seen=0.1612, unseen=0.0654, h=0.0930 ZSL: unseen accuracy=0.1867
[2/500]  Loss_D: -37.6125 Loss_G: 3.6594, Wasserstein_dist:49.2007, vae_loss_seen:509.0449 GZSL: seen=0.5565, unseen=0.0920, h=0.1579 ZSL: unseen accuracy=0.2947
[3/500]  Loss_D: -37.9576 Loss_G: 3.9461, Wasserstein_dist:48.6146, vae_loss_seen:481.2448 GZSL: seen=0.7442, unseen=0.1229, h=0.2110 ZSL: unseen accuracy=0.3581
[4/500]  Loss_D: -34.6833 Loss_G: 3.7838, Wasserstein_dist:50.7904, vae_loss_seen:477.8156 GZSL: seen=0.7325, unseen=0.1823, h=0.2920 ZSL: unseen accuracy=0.3782
[5/500]  Loss_D: -34.9146 Loss_G: 3.5275, Wasserstein_dist:50.5879, vae_loss_seen:478.9016 GZSL: seen=0.7178, unseen=0.1814, h=0.2896 ZSL: unseen accuracy=0.4084
[6/500]  Loss_D: -36.5869 Loss_G: 3.4762, Wasserstein_dist:46.4898, vae_loss_seen:454.0914 GZSL: seen=0.6661, unseen=0.2365, h=0.3490 ZSL: unseen accuracy=0.4165
[7/500]  Loss_D: -38.8397 Loss_G: 2.8890, Wasserstein_dist:52.5396, vae_loss_seen:470.6575 GZSL: seen=0.6717, unseen=0.3086, h=0.4229 ZSL: unseen accuracy=0.4622
[8/500]  Loss_D: -34.0826 Loss_G: 2.1117, Wasserstein_dist:47.2996, vae_loss_seen:440.4150 GZSL: seen=0.7652, unseen=0.2862, h=0.4165 ZSL: unseen accuracy=0.4792
