HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :30
n_probe_val                   :15
k_probe_train                 :1
k_probe_val                   :10
n_subset                      :5
alpha                         :-3.0
gamma                         :3.0
lamb                          :None
n_syn                         :35
sample_probing_loss_weight    :5.0
sample_probing_loss_type      :zsl
closed_form_model_type        :eszsl
finetune                      :True
lambda2                       :10.0
[1/400]  Loss_D: -4.8310 Loss_G: -1.8744, Wasserstein_dist:6.3866, vae_loss_seen:796.2286 GZSL: seen=0.6993, unseen=0.3529, h=0.4691 ZSL: unseen accuracy=0.5856
[2/400]  Loss_D: -3.7664 Loss_G: -2.7138, Wasserstein_dist:4.8266, vae_loss_seen:786.3414 GZSL: seen=0.8523, unseen=0.6048, h=0.7075 ZSL: unseen accuracy=0.7481
[3/400]  Loss_D: -3.0101 Loss_G: -3.2405, Wasserstein_dist:4.0179, vae_loss_seen:774.7354 GZSL: seen=0.8471, unseen=0.7096, h=0.7723 ZSL: unseen accuracy=0.8269
[4/400]  Loss_D: -2.8538 Loss_G: -3.1302, Wasserstein_dist:3.7905, vae_loss_seen:770.7719 GZSL: seen=0.8743, unseen=0.7413, h=0.8023 ZSL: unseen accuracy=0.8500
[5/400]  Loss_D: -2.7408 Loss_G: -3.5454, Wasserstein_dist:3.6959, vae_loss_seen:781.8066 GZSL: seen=0.8772, unseen=0.7625, h=0.8158 ZSL: unseen accuracy=0.8644
[6/400]  Loss_D: -2.6201 Loss_G: -4.4299, Wasserstein_dist:3.4323, vae_loss_seen:768.3870 GZSL: seen=0.9000, unseen=0.7808, h=0.8362 ZSL: unseen accuracy=0.8750
[7/400]  Loss_D: -2.5965 Loss_G: -3.5734, Wasserstein_dist:3.3863, vae_loss_seen:766.1015 GZSL: seen=0.9019, unseen=0.7760, h=0.8342 ZSL: unseen accuracy=0.8769
[8/400]  Loss_D: -2.4056 Loss_G: -4.1285, Wasserstein_dist:3.1711, vae_loss_seen:769.8998 GZSL: seen=0.8977, unseen=0.8019, h=0.8471 ZSL: unseen accuracy=0.8827
