HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :False
n_task                        :1
n_probe_train                 :1
n_probe_val                   :1
k_probe_train                 :1
k_probe_val                   :1
n_subset                      :1
alpha                         :None
gamma                         :None
lamb                          :None
n_syn                         :None
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :None
closed_form_model_type        :None
finetune                      :True
lambda2                       :10.0
[1/400]  Loss_D: -4.9408 Loss_G: -1.6212, Wasserstein_dist:6.3689, vae_loss_seen:797.0627 GZSL: seen=0.7227, unseen=0.3433, h=0.4655 ZSL: unseen accuracy=0.5990
[2/400]  Loss_D: -3.9435 Loss_G: -2.4316, Wasserstein_dist:5.1320, vae_loss_seen:797.2797 GZSL: seen=0.8675, unseen=0.5904, h=0.7026 ZSL: unseen accuracy=0.7279
[3/400]  Loss_D: -3.4044 Loss_G: -2.9606, Wasserstein_dist:4.5526, vae_loss_seen:773.3828 GZSL: seen=0.8583, unseen=0.7135, h=0.7792 ZSL: unseen accuracy=0.8144
[4/400]  Loss_D: -3.1258 Loss_G: -4.5408, Wasserstein_dist:4.1024, vae_loss_seen:774.0106 GZSL: seen=0.8639, unseen=0.7298, h=0.7912 ZSL: unseen accuracy=0.8404
[5/400]  Loss_D: -2.8686 Loss_G: -3.5757, Wasserstein_dist:3.8031, vae_loss_seen:770.6749 GZSL: seen=0.8803, unseen=0.7635, h=0.8177 ZSL: unseen accuracy=0.8587
[6/400]  Loss_D: -2.3811 Loss_G: -4.1548, Wasserstein_dist:3.2589, vae_loss_seen:759.2067 GZSL: seen=0.9009, unseen=0.7538, h=0.8208 ZSL: unseen accuracy=0.8663
[7/400]  Loss_D: -2.5242 Loss_G: -4.0160, Wasserstein_dist:3.3868, vae_loss_seen:785.1877 GZSL: seen=0.8897, unseen=0.7885, h=0.8360 ZSL: unseen accuracy=0.8731
[8/400]  Loss_D: -2.4351 Loss_G: -3.7254, Wasserstein_dist:3.2316, vae_loss_seen:782.6513 GZSL: seen=0.8702, unseen=0.8125, h=0.8404 ZSL: unseen accuracy=0.8788
