HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :10
n_probe_val                   :15
k_probe_train                 :1
k_probe_val                   :10
n_subset                      :1
alpha                         :-3.0
gamma                         :3.0
lamb                          :None
n_syn                         :25
sample_probing_loss_weight    :5.0
sample_probing_loss_type      :zsl
closed_form_model_type        :eszsl
finetune                      :False
lambda2                       :10.0

[1/400]  Loss_D: -3.4319 Loss_G: 0.8038, Wasserstein_dist:4.6843, vae_loss_seen:395.2775 GZSL: seen=0.2076, unseen=0.1125, h=0.1459 ZSL: unseen accuracy=0.3173
[2/400]  Loss_D: -3.0413 Loss_G: -0.8321, Wasserstein_dist:4.2119, vae_loss_seen:380.9201 GZSL: seen=0.2683, unseen=0.2106, h=0.2360 ZSL: unseen accuracy=0.3548
[3/400]  Loss_D: -3.1551 Loss_G: -1.0334, Wasserstein_dist:4.0992, vae_loss_seen:393.3951 GZSL: seen=0.2827, unseen=0.3096, h=0.2955 ZSL: unseen accuracy=0.4625
[4/400]  Loss_D: -2.9549 Loss_G: -0.9180, Wasserstein_dist:3.8483, vae_loss_seen:383.2532 GZSL: seen=0.3138, unseen=0.3298, h=0.3216 ZSL: unseen accuracy=0.5000
[5/400]  Loss_D: -2.8603 Loss_G: -0.7276, Wasserstein_dist:3.6811, vae_loss_seen:387.7604 GZSL: seen=0.3211, unseen=0.3577, h=0.3384 ZSL: unseen accuracy=0.5327
[6/400]  Loss_D: -2.8149 Loss_G: -0.9629, Wasserstein_dist:3.6863, vae_loss_seen:382.9209 GZSL: seen=0.3365, unseen=0.3635, h=0.3494 ZSL: unseen accuracy=0.5654
[7/400]  Loss_D: -3.1528 Loss_G: -1.1706, Wasserstein_dist:4.0437, vae_loss_seen:382.9427 GZSL: seen=0.3145, unseen=0.3981, h=0.3514 ZSL: unseen accuracy=0.5712
[8/400]  Loss_D: -2.8164 Loss_G: -1.0438, Wasserstein_dist:3.6618, vae_loss_seen:388.2869 GZSL: seen=0.3103, unseen=0.4356, h=0.3624 ZSL: unseen accuracy=0.5846
