HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :10
n_probe_val                   :15
k_probe_train                 :1
k_probe_val                   :10
n_subset                      :1
alpha                         :-3.0
gamma                         :3.0
lamb                          :0.001
n_syn                         :25
sample_probing_loss_weight    :5.0
sample_probing_loss_type      :zsl
closed_form_model_type        :sem2vis
finetune                      :False
lambda2                       :10.0

[1/400]  Loss_D: -3.4296 Loss_G: 0.8080, Wasserstein_dist:4.6967, vae_loss_seen:395.3416 GZSL: seen=0.2099, unseen=0.1115, h=0.1457 ZSL: unseen accuracy=0.3202
[2/400]  Loss_D: -3.1359 Loss_G: -0.8520, Wasserstein_dist:4.2931, vae_loss_seen:380.6479 GZSL: seen=0.2721, unseen=0.2058, h=0.2343 ZSL: unseen accuracy=0.3596
[3/400]  Loss_D: -3.1520 Loss_G: -1.0511, Wasserstein_dist:4.0907, vae_loss_seen:393.3113 GZSL: seen=0.2842, unseen=0.3038, h=0.2937 ZSL: unseen accuracy=0.4654
[4/400]  Loss_D: -2.9390 Loss_G: -0.9109, Wasserstein_dist:3.8324, vae_loss_seen:383.4148 GZSL: seen=0.3118, unseen=0.3327, h=0.3219 ZSL: unseen accuracy=0.4981
[5/400]  Loss_D: -2.7604 Loss_G: -0.7249, Wasserstein_dist:3.5374, vae_loss_seen:387.8477 GZSL: seen=0.3212, unseen=0.3538, h=0.3368 ZSL: unseen accuracy=0.5356
[6/400]  Loss_D: -2.8048 Loss_G: -0.8974, Wasserstein_dist:3.6807, vae_loss_seen:382.6658 GZSL: seen=0.3534, unseen=0.3385, h=0.3458 ZSL: unseen accuracy=0.5615
[7/400]  Loss_D: -3.1571 Loss_G: -1.1914, Wasserstein_dist:4.0461, vae_loss_seen:382.8226 GZSL: seen=0.2982, unseen=0.4317, h=0.3528 ZSL: unseen accuracy=0.5692
[8/400]  Loss_D: -2.8929 Loss_G: -1.1305, Wasserstein_dist:3.7652, vae_loss_seen:388.0547 GZSL: seen=0.3331, unseen=0.3913, h=0.3599 ZSL: unseen accuracy=0.5913
