HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :True
n_task                        :1
n_probe_train                 :10
n_probe_val                   :15
k_probe_train                 :1
k_probe_val                   :10
n_subset                      :1
alpha                         :-3.0
gamma                         :3.0
lamb                          :0.1
n_syn                         :25
sample_probing_loss_weight    :5.0
sample_probing_loss_type      :zsl
closed_form_model_type        :vis2sem
finetune                      :False
lambda2                       :10.0
[1/400]  Loss_D: -3.4252 Loss_G: 0.7384, Wasserstein_dist:4.6901, vae_loss_seen:395.6909 GZSL: seen=0.2034, unseen=0.1125, h=0.1449 ZSL: unseen accuracy=0.3115
[2/400]  Loss_D: -3.0551 Loss_G: -0.7923, Wasserstein_dist:4.2533, vae_loss_seen:381.5416 GZSL: seen=0.2672, unseen=0.2096, h=0.2349 ZSL: unseen accuracy=0.3567
[3/400]  Loss_D: -2.9535 Loss_G: -1.1319, Wasserstein_dist:4.0356, vae_loss_seen:393.8304 GZSL: seen=0.2840, unseen=0.3019, h=0.2927 ZSL: unseen accuracy=0.4635
[4/400]  Loss_D: -3.0580 Loss_G: -0.8859, Wasserstein_dist:4.0012, vae_loss_seen:383.7240 GZSL: seen=0.3085, unseen=0.3356, h=0.3214 ZSL: unseen accuracy=0.5029
[5/400]  Loss_D: -2.8992 Loss_G: -0.8519, Wasserstein_dist:3.7894, vae_loss_seen:388.6932 GZSL: seen=0.3207, unseen=0.3635, h=0.3407 ZSL: unseen accuracy=0.5337
[6/400]  Loss_D: -2.8215 Loss_G: -0.9139, Wasserstein_dist:3.6560, vae_loss_seen:383.3798 GZSL: seen=0.3163, unseen=0.3865, h=0.3479 ZSL: unseen accuracy=0.5654
[7/400]  Loss_D: -3.1336 Loss_G: -1.2472, Wasserstein_dist:4.0400, vae_loss_seen:383.6106 GZSL: seen=0.3373, unseen=0.3673, h=0.3517 ZSL: unseen accuracy=0.5663
[8/400]  Loss_D: -2.8208 Loss_G: -1.1616, Wasserstein_dist:3.7703, vae_loss_seen:388.5256 GZSL: seen=0.3294, unseen=0.3990, h=0.3609 ZSL: unseen accuracy=0.5846
