HYPER-PARAMETERS
dataset                       :SUN
dataroot                      :../data
image_embedding               :res101
class_embedding               :att
syn_num                       :400
gzsl                          :True
preprocessing                 :True
standardization               :False
workers                       :8
batch_size                    :64
resSize                       :2048
attSize                       :102
nz                            :102
ngh                           :4096
ndh                           :4096
nepoch                        :400
critic_iter                   :5
lambda1                       :10.0
lr                            :0.001
feed_lr                       :0.0001
dec_lr                        :0.0001
classifier_lr                 :0.0005
beta1                         :0.5
cuda                          :True
encoded_noise                 :True
manualSeed                    :4115
nclass_all                    :717
validation                    :True
encoder_layer_sizes           :[2048, 4096]
decoder_layer_sizes           :[4096, 2048]
gammaD                        :1
gammaG                        :1
latent_size                   :102
conditional                   :True
a1                            :0.1
a2                            :0.01
recons_weight                 :0.01
feedback_loop                 :1
freeze_dec                    :False
sample_probing                :False
n_task                        :1
n_probe_train                 :1
n_probe_val                   :1
k_probe_train                 :1
k_probe_val                   :1
n_subset                      :1
alpha                         :None
gamma                         :None
lamb                          :None
n_syn                         :None
sample_probing_loss_weight    :1.0
sample_probing_loss_type      :None
closed_form_model_type        :None
finetune                      :False
lambda2                       :10.0
[1/400]  Loss_D: -3.3764 Loss_G: 0.6089, Wasserstein_dist:4.6196, vae_loss_seen:398.3123 GZSL: seen=0.2123, unseen=0.1231, h=0.1558 ZSL: unseen accuracy=0.3067
[2/400]  Loss_D: -3.5366 Loss_G: -0.8212, Wasserstein_dist:4.5170, vae_loss_seen:417.6968 GZSL: seen=0.2617, unseen=0.2163, h=0.2369 ZSL: unseen accuracy=0.3663
[3/400]  Loss_D: -2.9952 Loss_G: -0.8545, Wasserstein_dist:4.0807, vae_loss_seen:374.8098 GZSL: seen=0.2865, unseen=0.2913, h=0.2889 ZSL: unseen accuracy=0.4596
[4/400]  Loss_D: -3.0789 Loss_G: -0.9498, Wasserstein_dist:3.9520, vae_loss_seen:399.3138 GZSL: seen=0.3088, unseen=0.3240, h=0.3162 ZSL: unseen accuracy=0.4933
[5/400]  Loss_D: -2.6516 Loss_G: -1.0150, Wasserstein_dist:3.5720, vae_loss_seen:374.4948 GZSL: seen=0.3181, unseen=0.3635, h=0.3393 ZSL: unseen accuracy=0.5260
[6/400]  Loss_D: -2.6156 Loss_G: -0.9100, Wasserstein_dist:3.4785, vae_loss_seen:365.8336 GZSL: seen=0.3259, unseen=0.3769, h=0.3496 ZSL: unseen accuracy=0.5625
[7/400]  Loss_D: -3.0654 Loss_G: -0.8352, Wasserstein_dist:4.1015, vae_loss_seen:402.4335 GZSL: seen=0.3268, unseen=0.3769, h=0.3501 ZSL: unseen accuracy=0.5567
[8/400]  Loss_D: -2.9118 Loss_G: -0.8947, Wasserstein_dist:3.8473, vae_loss_seen:392.2602 GZSL: seen=0.3433, unseen=0.3750, h=0.3585 ZSL: unseen accuracy=0.5817
